id,county,pop_over_25,median_income,median_income_no_hs,median_income_hs,median_income_some_college,median_income_college,median_income_graduate_degree
18013,"Brown County, Indiana",11125,30139,11992,26408,28378,32806,61333
18015,"Carroll County, Indiana",13782,31629,18010,27450,31583,48116,61058
18017,"Cass County, Indiana",25910,27709,20278,27113,28151,36767,59015
18019,"Clark County, Indiana",75953,34794,20826,29991,35584,46190,58032
18021,"Clay County, Indiana",18288,31956,21848,27140,32562,43516,59202
18023,"Clinton County, Indiana",21562,30373,22038,28707,32476,46694,51058
18025,"Crawford County, Indiana",7334,27678,14602,26606,26396,47396,59569
18027,"Daviess County, Indiana",19857,32494,26165,30140,34712,45828,51370
18029,"Dearborn County, Indiana",33842,36913,21074,32819,37896,48038,59432
18031,"Decatur County, Indiana",17408,31946,25150,28419,31977,41889,64853
18033,"DeKalb County, Indiana",27894,31746,22542,27533,32359,48467,54136
18035,"Delaware County, Indiana",71150,30290,15848,23633,28851,40329,54079
18037,"Dubois County, Indiana",28534,32394,21822,30324,32787,46180,53632
18039,"Elkhart County, Indiana",124757,30658,22438,28825,31148,39870,53862
18041,"Fayette County, Indiana",16666,27338,20555,22653,29663,44145,55179
18043,"Floyd County, Indiana",50637,35933,16689,28386,36380,52086,65171
18045,"Fountain County, Indiana",11768,32737,21719,27448,35147,44357,61336
18047,"Franklin County, Indiana",15522,34617,25817,30424,37816,49097,54167
18049,"Fulton County, Indiana",14102,29727,22922,27705,30988,43075,52625
18051,"Gibson County, Indiana",22720,35008,16818,30942,35932,50625,52770
18053,"Grant County, Indiana",45309,28800,11967,25834,29022,37163,54878
18055,"Greene County, Indiana",22743,31421,16465,28385,32225,42989,62579
18057,"Hamilton County, Indiana",181413,49413,24921,29151,39658,56147,76059
18059,"Hancock County, Indiana",47229,40537,22777,31637,39983,51605,64291
18061,"Harrison County, Indiana",26974,32621,13077,30046,32392,45467,55407
18063,"Hendricks County, Indiana",97361,42726,20999,32007,40082,53168,67418
18065,"Henry County, Indiana",34865,30064,17808,27636,30178,40000,51915
18067,"Howard County, Indiana",56780,31793,14656,25136,31713,44547,58103
18069,"Huntington County, Indiana",24728,30893,22553,26651,31913,42346,52307
18071,"Jackson County, Indiana",28987,31888,26062,29049,33021,49213,54757
18073,"Jasper County, Indiana",21825,35745,24583,32967,36151,42609,53750
18075,"Jay County, Indiana",13936,28188,16402,26994,30540,36862,54509
18077,"Jefferson County, Indiana",21897,28980,17756,26275,29032,44572,54885
18079,"Jennings County, Indiana",18583,31005,21719,29074,32211,43190,53854
18081,"Johnson County, Indiana",92759,38986,21146,30668,36155,52799,68975
18083,"Knox County, Indiana",24987,29828,19029,26283,30031,40603,53852
18085,"Kosciusko County, Indiana",50778,32209,23252,29585,32518,42454,59987
18087,"LaGrange County, Indiana",21149,31543,31078,29656,31879,40466,60369
18089,"Lake County, Indiana",325401,34387,20614,29792,32498,48439,63490
18091,"LaPorte County, Indiana",76715,32265,19737,28746,32647,43473,56421
18093,"Lawrence County, Indiana",31921,30223,16913,27147,31332,43068,57527
18095,"Madison County, Indiana",89307,30410,16944,25990,30229,42251,50850
18097,"Marion County, Indiana",591223,31725,17087,25696,30518,43977,59075
18099,"Marshall County, Indiana",30770,31538,25289,28935,31311,40690,58586
18101,"Martin County, Indiana",7120,31612,21623,27145,35610,42878,70417
18103,"Miami County, Indiana",25101,27955,14714,26184,30389,48846,50357
18105,"Monroe County, Indiana",76643,32043,17211,28700,30191,35805,46701
18107,"Montgomery County, Indiana",25400,30996,18415,30437,27269,43141,53710
18109,"Morgan County, Indiana",46722,35042,19229,30182,36938,51278,62525
18111,"Newton County, Indiana",9779,32313,20750,31138,36128,41800,52917
18113,"Noble County, Indiana",30872,32590,21439,31299,32844,40859,55456
18115,"Ohio County, Indiana",4412,32767,28456,25813,35740,49181,58125
18117,"Orange County, Indiana",13334,29402,23088,26580,30733,36438,46016
18119,"Owen County, Indiana",14868,29452,20510,25858,31890,44359,47617
18121,"Parke County, Indiana",12105,28264,13150,25594,31871,33409,33250
18123,"Perry County, Indiana",13668,32404,22167,31726,34938,43750,53173
18125,"Pike County, Indiana",9000,30474,23712,30182,30477,33571,51250
18127,"Porter County, Indiana",110462,40516,17341,32338,38810,47318,63855
18129,"Posey County, Indiana",17572,37102,25158,31504,40108,43906,58690
18131,"Pulaski County, Indiana",9046,31664,12000,29005,31038,42560,60396
18133,"Putnam County, Indiana",24628,33245,18953,27015,36199,41672,61800
18135,"Randolph County, Indiana",17757,26747,21414,25037,26925,40113,50678
18137,"Ripley County, Indiana",19101,32060,21014,28825,31941,44974,60063
18139,"Rush County, Indiana",11716,33316,19844,30483,34552,50921,52765
18141,"St. Joseph County, Indiana",171362,31547,16973,25880,30127,41804,58340
18143,"Scott County, Indiana",16259,30766,24568,29571,30382,46442,47500
18145,"Shelby County, Indiana",30247,34949,21869,31030,34348,48750,59681
18147,"Spencer County, Indiana",14579,32214,17974,31403,35969,48929,51620
18149,"Starke County, Indiana",15843,30231,21286,26375,31567,36343,51441
18151,"Steuben County, Indiana",22884,30146,20676,26359,27216,43705,58804
18153,"Sullivan County, Indiana",14975,31843,19815,27197,32051,52333,65139
18155,"Switzerland County, Indiana",7010,26997,19320,27660,26599,52716,39205
18157,"Tippecanoe County, Indiana",96245,32838,21726,26868,32173,40752,54100
18159,"Tipton County, Indiana",11125,31463,14506,30872,30126,44959,52589
18161,"Union County, Indiana",5009,31043,16300,28291,28259,36667,60250
18163,"Vanderburgh County, Indiana",119904,32214,17748,27097,31299,42061,55882
18165,"Vermillion County, Indiana",11182,29245,18500,24948,29780,43403,61053
18167,"Vigo County, Indiana",69492,29878,18387,26493,27107,38597,58760
18169,"Wabash County, Indiana",22023,29165,20405,26104,28112,38167,53110
18171,"Warren County, Indiana",5926,34916,28315,30799,37990,51167,55972
18173,"Warrick County, Indiana",40647,36945,14978,27565,33364,50730,67000
18175,"Washington County, Indiana",18914,29026,23762,26424,30196,40546,61029
18177,"Wayne County, Indiana",46569,28830,16484,25095,29415,44229,56022
18179,"Wells County, Indiana",18739,31859,22731,29245,31134,43731,58729
18181,"White County, Indiana",16887,30408,21606,25773,30850,37861,55685
18183,"Whitley County, Indiana",22646,32480,21211,28984,34522,41848,56544
19001,"Adair County, Iowa",5438,32107,20491,30420,32868,40000,59583
19003,"Adams County, Iowa",2876,32036,21354,29088,31662,38281,40938
19005,"Allamakee County, Iowa",10012,27469,16667,24866,29745,35465,57083
19007,"Appanoose County, Iowa",9040,27890,18036,25067,26198,44926,42292
19009,"Audubon County, Iowa",4356,32901,16471,25994,34413,43977,52500
19011,"Benton County, Iowa",17617,36268,24423,30289,36106,49614,56000
19013,"Black Hawk County, Iowa",82367,32155,21895,27551,30194,41838,58008
19015,"Boone County, Iowa",18124,35012,20313,28125,35650,43393,63884
19017,"Bremer County, Iowa",15943,37641,30938,31342,36340,43688,56452
19019,"Buchanan County, Iowa",13850,33832,24389,32162,30421,44362,54000
19021,"Buena Vista County, Iowa",12862,29833,24681,26531,30245,37928,51536
19023,"Butler County, Iowa",10454,33498,20804,32901,32240,37222,54861
19025,"Calhoun County, Iowa",7202,30852,11859,26522,30231,41548,46917
19027,"Carroll County, Iowa",14215,31458,13523,30249,30621,38348,55125
19029,"Cass County, Iowa",9706,29223,21319,25060,28553,37406,57375
19031,"Cedar County, Iowa",12869,34928,29536,31857,34789,45964,50833
19033,"Cerro Gordo County, Iowa",31114,31127,22101,25238,30566,44002,61295
19035,"Cherokee County, Iowa",8613,31932,17069,24838,31674,43136,61563
19037,"Chickasaw County, Iowa",8588,31355,20047,28936,31087,42500,50913
19039,"Clarke County, Iowa",6253,31509,20662,31250,29239,38051,59704
19041,"Clay County, Iowa",11650,32195,18322,27369,32901,46211,51318
19043,"Clayton County, Iowa",12676,30488,27429,26855,31152,36346,46101
19045,"Clinton County, Iowa",33521,32214,18631,29000,30913,45148,59498
19047,"Crawford County, Iowa",11082,31594,25950,29981,32831,38895,48125
19049,"Dallas County, Iowa",45219,44917,25757,31003,41140,54736,77040
19051,"Davis County, Iowa",5537,30186,19567,24442,31027,40089,50163
19053,"Decatur County, Iowa",5210,28453,14500,26715,27220,37155,40588
19055,"Delaware County, Iowa",12073,32292,21667,30475,32889,45963,50709
19057,"Des Moines County, Iowa",27873,29431,19157,24907,29534,39000,61024
19059,"Dickinson County, Iowa",12570,31989,14471,29391,30623,42309,66000
19061,"Dubuque County, Iowa",62453,32644,19496,26926,31416,42889,52541
19063,"Emmet County, Iowa",6925,31545,20182,27000,34063,41136,47663
19065,"Fayette County, Iowa",14081,29889,20942,25758,29635,37000,50972
19067,"Floyd County, Iowa",11182,31356,21648,22439,35642,40151,68036
19069,"Franklin County, Iowa",7452,31091,25475,29621,31192,45000,47500
19071,"Fremont County, Iowa",5143,32077,14500,27389,33869,37639,49583
19073,"Greene County, Iowa",6509,30229,16875,26236,31539,44000,46375
19075,"Grundy County, Iowa",8633,35297,25208,29795,34103,42500,56917
19077,"Guthrie County, Iowa",7715,31832,22396,28422,32181,36810,64125
19079,"Hamilton County, Iowa",10747,32066,13056,27406,33125,43077,56406
19081,"Hancock County, Iowa",7974,32461,20455,29623,34688,45227,45417
19083,"Hardin County, Iowa",12032,32850,30139,27081,30891,44529,57348
19085,"Harrison County, Iowa",10228,35974,26750,31100,34367,48554,54509
19087,"Henry County, Iowa",13723,30912,22529,27339,30503,43367,55476
19089,"Howard County, Iowa",6516,30466,27209,29051,30362,41774,25125
19091,"Humboldt County, Iowa",6824,32792,22793,29952,34080,42841,57011
19093,"Ida County, Iowa",4987,31744,12054,29702,31185,43299,59167
19095,"Iowa County, Iowa",11396,35839,9800,33182,34256,43199,56010
19097,"Jackson County, Iowa",13849,31121,24500,26202,31857,41822,42981
19099,"Jasper County, Iowa",25841,32956,15726,28963,32221,46715,57533
19101,"Jefferson County, Iowa",11997,29913,16250,26250,33633,26653,36915
19103,"Johnson County, Iowa",78497,39546,26156,30249,32707,41207,59086
19105,"Jones County, Iowa",14673,33550,16204,31497,32608,41615,56125
19107,"Keokuk County, Iowa",7286,29763,14583,26411,32116,33889,49028
19109,"Kossuth County, Iowa",11031,31808,16875,27403,30955,39597,54750
19111,"Lee County, Iowa",25117,30215,17996,27205,29668,34960,59355
19113,"Linn County, Iowa",140694,39047,21017,28813,35777,51371,66215
19115,"Louisa County, Iowa",7624,31036,27176,27583,31887,47025,45000
19117,"Lucas County, Iowa",6134,29621,19904,26961,28511,45000,64750
19119,"Lyon County, Iowa",7560,31149,21333,28045,29293,43163,52333
19121,"Madison County, Iowa",10520,35931,24526,25279,35436,50350,57868
19123,"Mahaska County, Iowa",14960,33016,16230,29778,33406,39538,54205
19125,"Marion County, Iowa",21647,34010,19236,30319,30848,41530,54247
19127,"Marshall County, Iowa",27069,32764,24742,28379,34050,46424,62045
19129,"Mills County, Iowa",10220,40070,16583,31242,39070,49192,58125
19131,"Mitchell County, Iowa",7417,32042,17045,29782,32926,37634,59063
19133,"Monona County, Iowa",6631,30130,22500,26267,30281,37768,49750
19135,"Monroe County, Iowa",5509,35221,32188,28143,39177,42225,54167
19137,"Montgomery County, Iowa",7515,30054,20333,22125,31289,39815,53750
19139,"Muscatine County, Iowa",28372,31991,21216,28449,32279,49960,58816
19141,"O'Brien County, Iowa",9932,28212,21477,24516,28975,40189,54792
19143,"Osceola County, Iowa",4450,30473,19750,26978,31902,40250,48472
19145,"Page County, Iowa",11345,29312,10792,25108,31004,45111,54671
19147,"Palo Alto County, Iowa",6417,30498,25529,25687,31417,40147,52050
19149,"Plymouth County, Iowa",16922,35497,21657,30700,34421,42202,57861
19151,"Pocahontas County, Iowa",5193,29902,23000,27019,28942,39167,48083
19153,"Polk County, Iowa",286938,39143,21314,28643,36084,50140,64678
19155,"Pottawattamie County, Iowa",61890,33299,21332,29739,32446,45757,57313
19157,"Poweshiek County, Iowa",12203,32083,20375,27964,31179,46552,65000
19159,"Ringgold County, Iowa",3558,29786,29000,21599,31865,35865,52321
19161,"Sac County, Iowa",7337,31034,23261,28611,30966,36705,47614
19163,"Scott County, Iowa",111627,37204,20990,28138,32629,48452,62784
19165,"Shelby County, Iowa",8550,30505,23464,26327,31811,41139,58036
19167,"Sioux County, Iowa",20267,32466,25438,29394,33630,36845,51434
19169,"Story County, Iowa",47551,38500,17342,30775,32895,42143,56892
19171,"Tama County, Iowa",11998,33144,22463,30746,32759,40313,46648
19173,"Taylor County, Iowa",4459,30382,25288,27906,27154,42734,40688
19175,"Union County, Iowa",8526,29577,19962,23856,31173,40036,44297
19177,"Van Buren County, Iowa",5295,29556,25039,29609,27713,40469,43571
19179,"Wapello County, Iowa",24009,30207,22617,27393,27011,43809,63856
19181,"Warren County, Iowa",30216,40092,22146,33024,37082,50550,59167
19183,"Washington County, Iowa",14935,32372,22750,29473,32508,40767,51915
19185,"Wayne County, Iowa",4403,30706,22829,26250,31968,41667,50341
19187,"Webster County, Iowa",25234,31855,18115,25257,32389,43850,63536
19189,"Winnebago County, Iowa",7497,31363,25449,29407,30954,38833,54565
19191,"Winneshiek County, Iowa",13426,32044,19583,29363,30221,40910,56225
19193,"Woodbury County, Iowa",64463,30786,24264,25986,31114,41938,55462
19195,"Worth County, Iowa",5362,30893,20750,27800,31360,38708,54844
19197,"Wright County, Iowa",9123,31413,23333,28989,33418,36944,51939
20001,"Allen County, Kansas",8987,30399,18839,27228,27500,39902,44083
20003,"Anderson County, Kansas",5449,28685,19872,23550,27277,33500,53424
20005,"Atchison County, Kansas",10335,31786,20795,27273,31344,37582,53009
20007,"Barber County, Kansas",3475,30996,30083,24671,30658,33889,50417
20009,"Barton County, Kansas",18360,30286,23356,25861,30494,40542,46142
20011,"Bourbon County, Kansas",9881,29655,23393,23597,27996,32400,49460
20013,"Brown County, Kansas",6771,26245,17557,21378,26875,36372,47917
20015,"Butler County, Kansas",42155,38331,23295,30395,32950,48255,59545
20017,"Chase County, Kansas",1948,27479,20347,22798,30547,31146,49432
20019,"Chautauqua County, Kansas",2652,30234,22000,26582,30441,38750,42308
20021,"Cherokee County, Kansas",14483,26321,15554,23603,25680,38779,43772
20023,"Cheyenne County, Kansas",2058,29178,9757,30294,26442,31071,50568
20025,"Clark County, Kansas",1502,30390,23125,20909,29583,48417,47292
20027,"Clay County, Kansas",5941,27313,12188,25420,29948,30282,44432
20029,"Cloud County, Kansas",6358,28941,22961,22697,30813,36641,40750
20031,"Coffey County, Kansas",5930,31996,19881,28080,30837,51941,53421
20033,"Comanche County, Kansas",1332,25699,23365,21696,28438,17222,37404
20035,"Cowley County, Kansas",23502,28756,20296,25296,26381,36836,51504
20037,"Crawford County, Kansas",23829,28978,24358,22166,27074,38285,48531
20039,"Decatur County, Kansas",2297,24320,24432,19712,22600,36625,40625
20041,"Dickinson County, Kansas",13379,31648,20270,27988,31438,41689,54167
20043,"Doniphan County, Kansas",5160,32348,28984,29563,30678,43953,43000
20045,"Douglas County, Kansas",63036,34417,12402,26090,30538,37852,50864
20047,"Edwards County, Kansas",2137,32129,24022,30855,30694,42798,50469
20049,"Elk County, Kansas",2078,27037,14500,17600,30264,41042,47708
20051,"Ellis County, Kansas",17336,30776,24457,26082,27584,35046,54171
20053,"Ellsworth County, Kansas",4647,29369,21964,25272,28364,35833,45294
20055,"Finney County, Kansas",21337,30955,26033,25701,32311,42559,47951
20057,"Ford County, Kansas",19888,29552,26193,26504,33627,45963,49894
20059,"Franklin County, Kansas",17042,31994,17479,28234,31386,40559,57625
20061,"Geary County, Kansas",19449,33843,17411,26797,35860,41731,60967
20063,"Gove County, Kansas",2013,27045,21250,25417,26105,31250,52500
20065,"Graham County, Kansas",1937,30539,18250,23984,24891,50298,47083
20067,"Grant County, Kansas",4774,35479,23645,33944,30900,47188,58958
20069,"Gray County, Kansas",3750,36567,32072,29500,32237,52028,52917
20071,"Greeley County, Kansas",889,34125,26827,26719,33750,50417,46250
20073,"Greenwood County, Kansas",4677,27408,12500,27281,23341,31951,44432
20075,"Hamilton County, Kansas",1774,29929,30255,29271,27423,39911,53000
20077,"Harper County, Kansas",4139,28948,16196,28295,28594,37917,52059
20079,"Harvey County, Kansas",22853,32646,26182,25364,30982,41807,50559
20081,"Haskell County, Kansas",2575,32443,26838,30234,30740,48611,52557
20083,"Hodgeman County, Kansas",1386,32449,39821,31337,27917,41094,45625
20085,"Jackson County, Kansas",8936,32741,19432,29665,31920,42172,53950
20087,"Jefferson County, Kansas",13144,35727,27315,28533,35066,44714,59719
20089,"Jewell County, Kansas",2311,27356,15625,26188,27049,43750,21429
20091,"Johnson County, Kansas",368317,45061,22873,29819,36063,53034,70805
20093,"Kearny County, Kansas",2504,31904,25395,30179,35125,38792,46429
20095,"Kingman County, Kansas",5501,31413,20192,27895,30970,38846,43250
20097,"Kiowa County, Kansas",1703,31932,21833,30000,27157,36042,44545
20099,"Labette County, Kansas",14272,29126,24271,25178,26988,40000,45173
20101,"Lane County, Kansas",1159,33629,35192,30341,28906,49773,41250
20103,"Leavenworth County, Kansas",51545,37395,19840,27290,33239,50243,73641
20105,"Lincoln County, Kansas",2319,28172,12188,25511,28750,32885,42386
20107,"Linn County, Kansas",6814,33346,23497,31409,31491,43864,51429
20109,"Logan County, Kansas",1935,26165,13802,22372,25938,32574,41488
20111,"Lyon County, Kansas",19886,27001,20833,24157,27061,36250,47698
20113,"McPherson County, Kansas",19933,35606,26687,32330,33058,41895,46351
20115,"Marion County, Kansas",8537,29521,17117,26498,27888,37313,45972
20117,"Marshall County, Kansas",7135,28567,17829,28866,25797,38917,41094
20119,"Meade County, Kansas",2910,32308,27601,25720,30606,43378,51339
20121,"Miami County, Kansas",21693,39166,26607,30735,37953,49281,65144
20123,"Mitchell County, Kansas",4386,31942,7250,30051,30072,45028,46900
20125,"Montgomery County, Kansas",23193,28830,23820,26379,27273,40598,42740
20127,"Morris County, Kansas",4243,30318,17778,25905,29673,36293,46071
20129,"Morton County, Kansas",2084,32464,21250,32464,31065,39107,70167
20131,"Nemaha County, Kansas",6884,32117,27426,30388,31894,36698,44700
20133,"Neosho County, Kansas",10966,26325,13556,24196,26591,37933,53417
20135,"Ness County, Kansas",2334,31250,21875,25972,31827,36875,42692
20137,"Norton County, Kansas",4192,30334,30643,24259,28448,50648,54338
20139,"Osage County, Kansas",11145,32460,21602,30451,31221,40775,56222
20141,"Osborne County, Kansas",2798,24811,15282,21047,26570,34107,39583
20143,"Ottawa County, Kansas",4191,33182,15313,30529,33378,38500,51250
20145,"Pawnee County, Kansas",4986,29296,9740,23125,30821,41563,44417
20147,"Phillips County, Kansas",3916,27182,19688,21667,25541,35347,47045
20149,"Pottawatomie County, Kansas",13810,35935,26324,31782,32146,38809,60877
20151,"Pratt County, Kansas",6376,30835,16833,25374,30396,45050,47282
20153,"Rawlins County, Kansas",1968,26633,6696,24792,24952,38250,41719
20155,"Reno County, Kansas",43207,30994,24255,27228,29252,39725,49693
20157,"Republic County, Kansas",3672,28781,11382,26023,29022,37941,46250
20159,"Rice County, Kansas",6498,29092,16682,23899,29882,41484,43185
20161,"Riley County, Kansas",35483,34559,13494,29470,31995,38593,50390
20163,"Rooks County, Kansas",3656,28781,31063,26473,26596,33500,47875
20165,"Rush County, Kansas",2386,27319,20000,24500,26803,37500,48750
20167,"Russell County, Kansas",5069,25148,9583,25845,24395,34306,19506
20169,"Saline County, Kansas",36497,31201,22818,26789,30578,40256,50668
20171,"Scott County, Kansas",3510,31055,16250,26157,32903,41466,43688
20173,"Sedgwick County, Kansas",317746,34741,20202,28044,32351,45183,58080
20175,"Seward County, Kansas",13055,28288,25271,26445,34375,43546,47380
20177,"Shawnee County, Kansas",118896,33954,17953,26615,31446,43967,55700
20179,"Sheridan County, Kansas",1778,27461,17143,28542,26754,34444,41250
20181,"Sherman County, Kansas",4243,25151,18393,21729,27632,33616,41161
20183,"Smith County, Kansas",2868,27730,14205,27279,25653,40242,60417
20185,"Stafford County, Kansas",3046,30121,24900,27988,27411,35208,47083
20187,"Stanton County, Kansas",1322,31486,27218,25921,31920,34625,44886
20189,"Stevens County, Kansas",3599,30078,21122,24933,30901,54013,42083
20191,"Sumner County, Kansas",15917,31029,20000,27878,30983,40546,47137
20193,"Thomas County, Kansas",4964,34318,27545,27992,29771,39167,46142
20195,"Trego County, Kansas",2098,30208,31806,25536,27560,37292,44375
20197,"Wabaunsee County, Kansas",4839,32988,24375,30247,32250,38767,42361
20199,"Wallace County, Kansas",1075,33008,17353,30096,36905,36964,44625
20201,"Washington County, Kansas",4128,27814,14091,24861,28138,36136,41250
20203,"Wichita County, Kansas",1444,32174,28125,24722,35486,44063,47250
20205,"Wilson County, Kansas",6387,26993,21202,26345,26325,33095,42132
20207,"Woodson County, Kansas",2402,23151,10893,19375,25658,31600,53750
20209,"Wyandotte County, Kansas",98698,28744,19829,25180,32137,40069,50040
21001,"Adair County, Kentucky",12375,26247,17202,22876,25808,36702,47404
21003,"Allen County, Kentucky",13473,30108,21169,27785,29565,40189,41932
21005,"Anderson County, Kentucky",14521,34459,21692,31665,30191,50806,45265
21007,"Ballard County, Kentucky",5859,32480,20242,33125,28558,47679,51250
21009,"Barren County, Kentucky",28876,27536,21544,23233,29954,43673,52180
21011,"Bath County, Kentucky",7885,26226,20077,25379,28468,37188,45769
21013,"Bell County, Kentucky",19641,24291,16943,22453,23291,34412,51636
21015,"Boone County, Kentucky",78129,40752,21766,30638,36447,55578,59639
21017,"Bourbon County, Kentucky",13688,30090,19463,27783,31807,45455,46731
21019,"Boyd County, Kentucky",35126,28216,15896,22007,26857,42500,56627
21021,"Boyle County, Kentucky",19335,27554,13899,23681,30030,39722,52551
21023,"Bracken County, Kentucky",5668,33372,20603,30805,34882,37188,44871
21025,"Breathitt County, Kentucky",9508,22489,16356,21611,23657,34545,50139
21027,"Breckinridge County, Kentucky",13733,23677,21189,21038,25929,36639,50259
21029,"Bullitt County, Kentucky",50580,34058,21929,29570,35245,45690,56882
21031,"Butler County, Kentucky",8808,29662,25156,26734,30803,44063,54821
21033,"Caldwell County, Kentucky",9075,26925,19718,24742,20563,39325,52832
21035,"Calloway County, Kentucky",22711,30683,20493,25288,28750,35684,51353
21037,"Campbell County, Kentucky",60092,37213,19375,31347,34862,53158,53884
21039,"Carlisle County, Kentucky",3537,30103,21852,22679,29904,42891,76250
21041,"Carroll County, Kentucky",7168,27300,15375,29709,26780,42328,63036
21043,"Carter County, Kentucky",18449,26767,15140,26922,24551,34969,44565
21045,"Casey County, Kentucky",11016,22042,16185,20197,23460,28782,54722
21047,"Christian County, Kentucky",42504,28801,20939,25188,29726,40718,52154
21049,"Clark County, Kentucky",24792,32332,20284,27134,37510,47672,54258
21051,"Clay County, Kentucky",14993,24686,15675,20618,31534,35375,42938
21053,"Clinton County, Kentucky",7017,23226,20254,20739,28170,53295,41944
21055,"Crittenden County, Kentucky",6498,26851,12105,26875,26774,38641,55750
21057,"Cumberland County, Kentucky",4762,25322,17780,22118,27121,41780,37478
21059,"Daviess County, Kentucky",65223,32154,18692,28373,31648,41894,51795
21061,"Edmonson County, Kentucky",8462,29328,26250,26449,27339,42266,52344
21063,"Elliott County, Kentucky",5451,21403,23317,20807,21652,11852,44813
21065,"Estill County, Kentucky",10294,25485,17771,24564,28396,41458,45978
21067,"Fayette County, Kentucky",194245,34254,16904,25270,30536,44643,58543
21069,"Fleming County, Kentucky",9805,27222,18821,24604,30841,32369,53211
21071,"Floyd County, Kentucky",27405,29249,17021,25838,25669,44066,49167
21073,"Franklin County, Kentucky",33841,33742,20195,25951,32449,46787,48324
21075,"Fulton County, Kentucky",4720,26487,21339,25943,24566,37569,42788
21077,"Gallatin County, Kentucky",5507,30079,22121,27441,31284,45607,17303
21079,"Garrard County, Kentucky",11799,29996,21338,25741,32002,36795,57543
21081,"Grant County, Kentucky",15671,30072,24035,26440,33197,43027,52109
21083,"Graves County, Kentucky",25265,28953,19857,24492,28677,42481,50944
21085,"Grayson County, Kentucky",17449,26670,20806,23606,32816,24511,48649
21087,"Green County, Kentucky",7952,23103,14347,21228,25527,41736,52857
21089,"Greenup County, Kentucky",25908,30826,16600,26164,30344,43314,52054
21091,"Hancock County, Kentucky",5770,33429,27188,28882,33143,52500,46484
21093,"Hardin County, Kentucky",68174,33280,19187,25515,34725,46843,61472
21095,"Harlan County, Kentucky",19919,27923,20171,22907,29066,35000,55880
21097,"Harrison County, Kentucky",12825,29343,19911,26473,30584,36786,60750
21099,"Hart County, Kentucky",12271,23642,20448,21678,27079,30789,44924
21101,"Henderson County, Kentucky",31722,30846,16042,26843,30692,41769,51220
21103,"Henry County, Kentucky",10499,30294,16122,27465,36907,33833,50833
21105,"Hickman County, Kentucky",3485,26955,12857,28650,25172,32446,51744
21107,"Hopkins County, Kentucky",32516,28475,15203,26738,28364,37174,42667
21109,"Jackson County, Kentucky",9251,28575,15401,25309,31443,36609,51637
21111,"Jefferson County, Kentucky",507007,33598,18332,25753,31457,45343,58214
21113,"Jessamine County, Kentucky",31473,30826,19908,25176,30573,43974,51943
21115,"Johnson County, Kentucky",16229,30316,16131,24620,31825,53654,57130
21117,"Kenton County, Kentucky",107136,36729,18324,30232,34262,45765,59563
21119,"Knott County, Kentucky",11113,31538,20781,27687,31477,36875,48542
21121,"Knox County, Kentucky",21113,22634,11849,20792,21313,39901,57756
21123,"Larue County, Kentucky",9699,27598,18497,23936,33918,32192,53818
21125,"Laurel County, Kentucky",40098,28768,18138,25582,30508,38768,53901
21127,"Lawrence County, Kentucky",10839,30924,18625,31565,25994,35966,52803
21129,"Lee County, Kentucky",5494,22214,17245,18505,24574,34583,53977
21131,"Leslie County, Kentucky",7842,31474,16563,35333,25747,39353,50929
21133,"Letcher County, Kentucky",16997,30433,27043,25996,26266,36576,56538
21135,"Lewis County, Kentucky",9503,24701,17250,23119,24841,38060,54320
21137,"Lincoln County, Kentucky",16785,25730,21301,24857,25518,37484,52587
21139,"Livingston County, Kentucky",6827,27511,12382,26706,36379,22500,49911
21141,"Logan County, Kentucky",18341,27647,20653,26148,30154,36189,50714
21143,"Lyon County, Kentucky",6593,26974,16833,23704,30575,31389,45083
21145,"McCracken County, Kentucky",46094,31783,18241,25138,30033,48125,55724
21147,"McCreary County, Kentucky",12370,21717,19430,19293,19743,27065,43701
21149,"McLean County, Kentucky",6562,29788,23269,27577,27950,31071,48548
21151,"Madison County, Kentucky",51571,32223,17456,25497,31157,39844,54226
21153,"Magoffin County, Kentucky",8959,26598,24896,23417,26250,55036,39063
21155,"Marion County, Kentucky",13509,27422,10694,26210,29258,31592,49355
21157,"Marshall County, Kentucky",22593,29734,18018,27906,30077,40294,51694
21159,"Martin County, Kentucky",8854,25407,14612,33250,21352,42788,50430
21161,"Mason County, Kentucky",11829,28311,19797,22630,28724,44952,51645
21163,"Meade County, Kentucky",18756,30512,14728,24059,32646,47618,60615
21165,"Menifee County, Kentucky",4320,26990,8942,26104,27768,35125,42857
21167,"Mercer County, Kentucky",14781,31572,18162,26181,31549,42750,51791
21169,"Metcalfe County, Kentucky",6923,25895,17438,26351,25272,30950,45766
21171,"Monroe County, Kentucky",7556,24091,19722,23773,25068,29079,33472
21173,"Montgomery County, Kentucky",18089,30896,15313,26849,33741,36445,54683
21175,"Morgan County, Kentucky",9786,23380,17450,19772,26107,33500,48929
21177,"Muhlenberg County, Kentucky",21879,28805,21003,23581,29162,37788,52946
21179,"Nelson County, Kentucky",29080,31407,19841,29370,30698,45321,51591
21181,"Nicholas County, Kentucky",4915,30230,18494,26317,32702,35227,43359
21183,"Ohio County, Kentucky",16114,26858,23491,24815,26055,45582,46769
21185,"Oldham County, Kentucky",40200,43869,13194,27232,34627,63274,64279
21187,"Owen County, Kentucky",7392,30978,16136,26127,35940,33667,58661
21189,"Owsley County, Kentucky",3406,22477,10724,21766,19667,36224,32216
